date_debut,date_fin,libelle
2023-02-04,2023-02-19,Hiver 2023
2023-04-22,2023-05-07,Printemps 2023
2023-07-08,2023-09-03,Été 2023
2023-10-21,2023-11-05,Toussaint 2023
2023-12-23,2024-01-07,Noël 2023-2024
2024-02-17,2024-03-03,Hiver 2024
2024-04-06,2024-04-21,Printemps 2024
2024-07-06,2024-09-01,Été 2024
2024-10-19,2024-11-03,Toussaint 2024
2024-12-21,2025-01-05,Noël 2024-2025
